bucket,ticker,label,capital_start,capital_final,total_bars,total_signals,total_allowed,total_blocked,total_trades,wins,losses,winrate,avg_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,avg_bars_held
FULL,SPY,FULL,1000.0,932.56,574,31,27,4,26,9,17,34.62,-1.97,7.0,6.73,-1.97,0.55,85.54,8.55,12.58
FULL,QQQ,FULL,1000.0,956.62,574,26,24,2,23,9,14,39.13,-1.37,7.48,7.05,-1.37,0.68,70.85,7.09,14.0
FULL,DIA,FULL,1000.0,926.78,574,30,24,6,23,7,16,30.43,-2.56,8.42,7.36,-2.56,0.5,93.1,9.31,14.3
FULL,IWM,FULL,1000.0,980.1,574,24,14,10,14,6,8,42.86,-1.06,6.33,6.59,-1.06,0.72,53.99,5.4,19.5
FULL,MSFT,FULL,1000.0,960.65,574,21,19,2,18,9,9,50.0,-1.84,7.79,11.48,-1.84,0.68,70.97,7.1,17.72
FULL,NVDA,FULL,1000.0,981.72,574,27,22,5,21,10,11,47.62,-0.61,7.56,8.03,-0.61,0.86,37.03,3.7,21.19
FULL,AMZN,FULL,1000.0,968.88,574,24,23,1,22,8,14,36.36,-1.12,9.91,7.42,-1.12,0.76,64.76,6.48,16.45
FULL,META,FULL,1000.0,964.62,574,30,26,4,25,10,15,40.0,-1.14,7.29,6.76,-1.14,0.72,68.16,6.82,14.12
FULL,TSLA,FULL,1000.0,984.97,574,32,20,12,19,8,11,42.11,-0.54,8.17,6.88,-0.54,0.86,48.01,4.8,14.68
TRAIN,SPY,TRAIN,1000.0,959.13,341,19,15,4,14,5,9,35.71,-2.21,6.73,7.17,-2.21,0.52,46.73,4.67,14.43
TRAIN,QQQ,TRAIN,1000.0,990.15,341,17,16,1,15,7,8,46.67,-0.1,7.11,6.41,-0.1,0.97,29.58,2.96,12.33
TRAIN,DIA,TRAIN,1000.0,924.22,341,18,14,4,14,3,11,21.43,-4.75,6.68,7.86,-4.75,0.23,75.78,7.58,14.86
TRAIN,IWM,TRAIN,1000.0,970.28,341,16,7,9,6,1,5,16.67,-4.45,7.17,6.77,-4.45,0.21,37.56,3.76,17.0
TRAIN,MSFT,TRAIN,1000.0,967.93,341,11,11,0,11,6,5,54.55,-2.62,8.55,16.02,-2.62,0.64,55.79,5.58,22.27
TRAIN,NVDA,TRAIN,1000.0,993.07,341,16,13,3,13,6,7,46.15,-0.29,7.82,7.24,-0.29,0.92,30.63,3.06,21.92
TRAIN,AMZN,TRAIN,1000.0,1001.4,341,14,14,0,14,6,8,42.86,0.37,10.81,7.46,0.37,1.09,26.23,2.62,15.07
TRAIN,META,TRAIN,1000.0,987.72,341,13,12,1,12,5,7,41.67,-0.77,7.61,6.77,-0.77,0.8,27.99,2.8,18.75
TRAIN,TSLA,TRAIN,1000.0,1004.44,341,16,12,4,11,5,6,45.45,0.66,8.89,6.2,0.66,1.2,19.43,1.94,14.91
TEST,SPY,TEST,1000.0,970.61,233,13,13,0,12,4,8,33.33,-1.85,7.63,6.6,-1.85,0.58,43.65,4.36,10.17
TEST,QQQ,TEST,1000.0,965.79,233,10,9,1,8,2,6,25.0,-3.76,8.82,7.95,-3.76,0.37,43.98,4.4,16.75
TEST,DIA,TEST,1000.0,1002.77,233,12,10,2,9,4,5,44.44,0.91,10.52,6.77,0.91,1.24,18.74,1.87,13.44
TEST,IWM,TEST,1000.0,1009.11,233,9,8,1,8,5,3,62.5,1.47,6.34,6.66,1.47,1.59,24.46,2.45,20.38
TEST,MSFT,TEST,1000.0,992.48,233,10,8,2,7,3,4,42.86,-0.65,6.49,6.01,-0.65,0.81,25.75,2.57,10.57
TEST,NVDA,TEST,1000.0,988.57,233,11,9,2,8,4,4,50.0,-1.12,7.22,9.47,-1.12,0.76,30.26,3.03,20.0
TEST,AMZN,TEST,1000.0,967.53,233,10,9,1,8,2,6,25.0,-3.71,7.17,7.34,-3.71,0.33,46.18,4.62,18.88
TEST,META,TEST,1000.0,976.61,233,17,14,3,13,5,8,38.46,-1.49,7.06,6.84,-1.49,0.65,40.67,4.07,9.85
TEST,TSLA,TEST,1000.0,980.4,233,17,9,8,8,3,5,37.5,-2.18,6.94,7.66,-2.18,0.54,37.42,3.74,14.12
